Group / Category,Feature Title,Feature Description,Release Date,Release Version,
Zoom Mail and Calendar,Introducing: Zoom Mail and Calendar Service (Beta),"The Zoom Mail Service works seamlessly with Meetings, Phone and Team Chat, bringing all of your important communications and scheduling activities together, with the security of end-to-end encryption for emails sent directly between active Zoom Mail Service users. This is currently available for Zoom One Pro or Standard Pro accounts in the US or Canada. The Mail and Calendar Services use the Mail and Calendar Clients for the desktop app.","November 10, 2022",version 5.12.8 (10232),
General features,Dutch language support,"The Zoom client now supports Dutch. By default, Zoom will match the operating system’s language if supported and users can manually select a language of their choice.","November 7, 2022",version 5.12.6 (10137),
General features,Support for RelayState with SSO authentication,"Zoom SSO authentication protocols have been enhanced to provide the ability for deep linking within SSO responses, ensuring users are authenticated before joining a meeting or viewing a cloud recording, as well as automatically authenticating on the client when launching the application. This feature must be enabled by Zoom.","November 7, 2022",version 5.12.6 (10137),
General features,Reorder desktop client tabs,"Desktop client users can adjust the order of product tabs on the desktop client, prioritizing the products they use the most. This can be done by dragging-and-dropping the tabs directly, or under the General tab of the client settings.","November 7, 2022",version 5.12.6 (10137),
Meeting/webinar features,Screen share preview,"When starting a share session, the sharer can hover their mouse near the floating toolbar and view a preview of the shared content other participants are seeing on their devices. This feature will not be immediately available, as it is dependent on a backend update currently scheduled for November 9, 2022.","November 7, 2022",version 5.12.6 (10137),
Meeting/webinar features,Enhanced participants list for multi-device users,"When a user pairs the Zoom desktop or mobile app with a local Zoom Room or Zoom for Home device and joins a meeting or webinar, the Participants list will display these redundant attendees grouped and nested to better convey these associations between users and devices.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Enhanced formatting for in-meeting chat,"In-meeting chat is being enhanced to support more advanced forms of messaging, including in-line image previews, rich text formatting, screenshots, and message quoting. Messages can also be deleted after being sent.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Support for up to 1000 participants in E2EE Meetings,"End-to-end encrypted meetings can support up to 1000 total participants. Previously, the maximum was 200 participants. Large Meeting add-on requirements still apply.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Pair with Zoom Room and transfer a live meeting,"Pairing with a Zoom Room can also be initiated within the Zoom meeting window, facilitating easier transferring of that meeting to the local Zoom Room. Previously, you had to pair with a Zoom Room outside of an active meeting, before being able to transfer. This requires Zoom Room version 5.12.6 or higher.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Enhanced Whiteboard menu,"The in-meeting menus have been updated, to more closely match the menus in the out-of-meeting whiteboard experience. This includes an improved right-click menu, additional editing options for shapes, and a zoom menu on mobile.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Additional shapes,"Additional shapes are available for Whiteboard including more basic shapes, flowchart symbols, UML symbols, and equations.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Follow along with presenter,"When collaborating on a Whiteboard during a live meeting, participants can request to follow a specific editor or request all others to follow them. When following, your view of the canvas is tied to their view of the canvas.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Rich-text options for text objects,"In-meeting created text objects, sticky notes, and shapes can be more finely formatted with additional rich-text options, including bold, italics, underline, font size, bulleted and numbered lists, and more.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Multiple admins for a chat channel,Channel owners can designate up to 50 admins to help manage a chat channel.,"November 7, 2022",version 5.12.6 (10137),
Team Chat features,Support for messages only visible to you,Some messages sent by Zoom Apps in Team Chat are marked Only visible to you. These messages are only visible to the specific user who triggered the actions because they are user-specific and not suitable for the wider audience.,"November 7, 2022",version 5.12.6 (10137),
Team Chat features,Scheduling a meeting through Zoom Team Chat,"Zoom Team Chat users can schedule meetings directly within a chat channel, which will automatically invite all members of that chat channel to the resulting calendar event. This feature currently only supports the Contacts and Calendar integration with Google and requires version 5.11.3 or higher.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Virtual background and touch up appearance support for Video Messaging,"When sending a Video Message in Zoom Chat, the user’s previously selected virtual background and their touch up setting are applied to the video. An option to open virtual background and filter settings is provided for quick access. This feature is available for all accounts, and no longer must be enabled by Zoom. The device must support the virtual background type you want to utilize.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Get Started section for new Team Chat users,New users interacting with Team Chat for the first time are provided with a getting started guide to help them onboard with using Zoom Team Chat more efficiently.,"November 7, 2022",version 5.12.6 (10137),
Phone features,Chat notifications for missed calls,"With the power pack license, receptionists can quickly send a chat message to a recipient that missed a call. The receptionist can enable a setting to determine if the note happens during or after a call. If leaving a phone number in the note, it can be clicked to be dialed directly from the chat.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,View and edit address book,"Agents can access and navigate the address book from the Zoom desktop client. They can also initiate outbound engagements from address book contacts, and edit contact attributes for active/closed engagements.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,Mirror video,Agents and consumers can mirror their video during a video engagement.,"November 7, 2022",version 5.12.6 (10137),
Contact Center features,Release engagements back to queue,Agents or supervisors in an active manually routed voice or video engagement can release engagement back to the queue if needed.,"November 7, 2022",version 5.12.6 (10137),
Contact Center features,Enhancement to voice call transferring,"When supervisors or agents transfer a voice call to another contact center user, they will be notified if the user is available. If the user isn’t available, they can transfer to a voicemail inbox accessible by the user (if applicable).","November 7, 2022",version 5.12.6 (10137),
Contact Center features,Support for USB headsets,"Supervisors and agents can use supported USB headsets to mute/unmute, accept, or adjust the volume during video engagements.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,SMS from voice engagement,Agents or supervisors can click SMS in the Profile tab to easily start a new SMS engagement while in an active voice engagement.,"November 7, 2022",version 5.12.6 (10137),
General features,Enhanced access to cloud recordings,"Cloud recordings can be more easily accessed and shared from the desktop client. Additionally, a notification will appear when a recording is finished processing.","August 22, 2022",version 5.11.9 (8040),
Meeting/webinar features,Support up to 25 custom languages for interpretation,"Up to 25 custom languages for interpretation can be used during a meeting or webinar. Previously, only up to 5 custom languages were supported. This option is only available if Enable language interpretation by default is enabled. This enhancement must be enabled by Zoom and requires client version 5.11.2 or higher.","August 22, 2022",version 5.11.9 (8040),
Meeting features,Broadcast mic audio to all breakout rooms,"Meeting hosts can broadcast their microphone audio to all breakout rooms in a meeting. Previously, only device audio could be shared to breakout rooms from the main session.","August 22, 2022",version 5.11.9 (8040),
Webinar features,Support for multi-language and translated captions in Webinars,"Zoom Webinars hosts can enable translated captions to support webinars with multiple different language speakers, allowing attendees to view captions in the language that best suits them. Additionally, automated captions in Webinars support additional languages in addition to English, which has been the only supported language thus far. Previously, these captioning features were only available for meetings. The Translated Captions feature is currently only available for Zoom One Business Plus and Zoom One Enterprise Plus accounts.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Enhanced collaboration cursors,"In-meeting Whiteboard users will see fewer collaboration cursors, which are cursors labeled with the name of the participants controlling them, when collaborating with others on a Whiteboard. Inactive cursors will disappear until active again. Users can also enable and disable viewing all collaborator’s cursors when viewing a Whiteboard.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Additional shapes and enhanced shape creation,"Additional shapes are available for the in-meeting Whiteboard experience, including pentagons, hexagons, octagons, hearts, arrows, clouds, and stars. Previously, these shapes could only be added through the out-of-meeting experience.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Dark mode support for Whiteboard Dashboard,"The out-of-meeting Whiteboard Dashboard, accessed by clicking the Whiteboard tab in the client, follows the client’s light or dark theme.","August 22, 2022",version 5.11.9 (8040),
Chat features,External users notice when composing messages in chats,Chats and channels that include external users will have enhanced labeling in the compose box to remind users that external contacts are present. The notification is clickable to provide more information regarding who can see messages in the chat or channel.,"August 22, 2022",version 5.11.9 (8040),
Chat features,Profile card for meeting hosts,"When users view an upcoming meeting in either the Home page or the Meetings tab, the meeting host’s name provides the host’s profile card on hover. An option to chat directly with the host is also provided next to their name. If the host is not already a contact, the option to add them as a contact is provided.","August 22, 2022",version 5.11.9 (8040),
Phone features,Desk phone call control setting enhancement,"When pairing or unpairing a desk phone to the Zoom desktop client, users can see the pairing/unpairing in process, then click on the OK button to close the dialog box once the process is over.","August 22, 2022",version 5.11.9 (8040),
Phone features,Restricted Calls/SMS hours and location,"If admins restrict calls and SMS for a location and/or during a time frame, users will be notified on their Zoom client that they are unable to send SMS and place calls during restricted hours/locations.","August 22, 2022",version 5.11.9 (8040),
Phone features,Location sharing for Windows clients,"If admins enabled a policy to allow Windows clients to automatically share their locations, users will be notified in the Zoom app that their admins enabled this feature on their behalf under Location Permission.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Enhancements to external voice calling,"Account owners and admins can enable supervisors and agents to make outbound calls and transfer calls by entering a name for contact matching. The system matches the name to the Zoom Contact Center address book and locates the PSTN number for the contact. The system displays matches for contacts containing a phone number, the supervisors and agents can select the correct contact and number combination. If a matching name does not include a phone number, then they don’t display as a match.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Enhancements to internal calling from Zoom Contact Center to Zoom Phone,"Account owners and admins can enable supervisors and agents to make outbound calls and transfer calls by entering a name for contact matching. The system matches the name to the account’s Zoom Phone Contacts and locates matches for the contact. The system displays matches for contacts containing an extension or phone number, then supervisors and agents can select the correct contact and number combination. If a matching name does not include an extension or phone number, then they don’t display as a match.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Selectively assign engagements,"When auto routing is disabled for a queue, agents and supervisors can selectively assign active voice and video engagements to themselves. Supervisors can also assign engagements to other agents in queue.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Support for USB headsets,"Supervisors and agents can use supported USB headsets to mute/unmute, accept/decline, or adjust the volume. This is only supported for voice engagements.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Share file in chat during video engagement,"If enabled by an admin, agents and consumers can share files in chat during an active video engagement.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,View engagements waiting for callback,Supervisors and agents can view voice calls that are waiting for a callback. These engagements are labeled with the Callback status in the live engagements tab. This feature must be enabled by Zoom.,"August 22, 2022",version 5.11.9 (8040),
Contact Center features,Preview message history in chat notifications,"When supervisors or agents receive a notification for a new or transferred chat engagement, they can preview the previous conversation before accepting the engagement so they have context of the conversation before it starts.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Enhancements to engagement monitoring,"There are several enhancements to related to monitoring: (1) When supervisors barge or takeover an active engagement, the existing agent in the engagement will see a notification. (2) When supervisors barge into an active engagement, they can easily downgrade to viewing (for chat), or listening/whispering (for voice). (3) When a supervisor uses monitoring, their contact center status will not be automatically changed.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Agent avatar in transfer window (chat and SMS),"When transferring a chat or SMS engagement, agents can see other agents’ contact center avatars. Agents’ contact center avatars are separate from their Zoom profile pictures and can be customized by admins.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Enhancements to filtering and sorting agents,"Supervisors can filter the My Agents table by agent status, queue, or name. They can also sort the table by name, status, or duration.","August 22, 2022",version 5.11.9 (8040),
Contact Center features,Enhancement to consumer experience,The consumer video experience has been improved so that they can resize the Waiting Room video during video engagements.,"August 22, 2022",version 5.11.9 (8040),
Zoom Apps features,Enhanced in-client app approval,"Admins approving an app in the client can more precisely approve apps, either for the entire account or for specific users and/or user groups.","August 22, 2022",version 5.11.9 (8040),
General features,Indonesian language support,"The Zoom client now supports Indonesian. By default, Zoom will match the operating system’s language if supported and users can manually select a language of their choice.","July 18, 2022",version 5.11.3 (7123),
General features,Additional MSI/PLIST/GPO/MDM options: Disable in-meeting use of Zoom Whiteboard - DisableInMeetingWhiteBoard,"Disabled by default, this option disables the ability to use the Zoom Whiteboard feature during a meeting.","July 18, 2022",version 5.11.3 (7123),
Meeting/webinar features,Support for preventing external users from saving in-meeting/webinar chats,"Account owners and admins can choose to only allow users in their account to save chats from meetings and/or webinars. This option is available at the account, group, and user levels, and can be locked at the account or group level. This feature requires client version 5.11.3 or higher.","July 18, 2022",version 5.11.3 (7123),
Meeting/webinar features,Speaker attribution included in downloaded transcript,"Downloaded transcript records will include the speaker’s name, as well as timestamps, when saved locally.","July 18, 2022",version 5.11.3 (7123),
Webinar features,Support for Zoom Whiteboard in Webinars,Hosts can launch and collaborate on Zoom Whiteboards within Zoom Webinars.,"July 18, 2022",version 5.11.3 (7123),
Whiteboard features,Host control of in-meeting Whiteboard access,"Meeting hosts can adjust the behavior of who can begin sharing a Whiteboard in a meeting (host only or all participants), as well as who can interrupt a participant's Whiteboard (host only or all participants).","July 18, 2022",version 5.11.3 (7123),
Whiteboard features,Default titles for Whiteboards created in-meeting,New Whiteboards created in a meeting use the meeting’s name as the default name of the project. The name can be edited in-meeting or afterwards as needed.,"July 18, 2022",version 5.11.3 (7123),
Whiteboard features,In-meeting Pan tool,"The in-meeting Whiteboard experience includes a pan tool, allowing the host to move the canvas freely without unintentionally selecting and moving objects.","July 18, 2022",version 5.11.3 (7123),
Whiteboard features,Move Whiteboard to trash in meetings,"If a Whiteboard project is no longer needed, it can be moved to the Trash during a meeting.","July 18, 2022",version 5.11.3 (7123),
Whiteboard features,Object and group rotation,"Objects, or groups of objects, can be rotated during an in-meeting Whiteboard session. After clicking on the rotate icon, the option rotates, snapping to the nearest 15° increment. Holding the Shift key allows free rotation without snapping.","July 18, 2022",version 5.11.3 (7123),
Phone features,Receive SMS short codes,Users with SMS enabled can receive SMS messages from short codes. Short codes are special short-digit phone numbers typically used for ordering services or sending two-factor authentication codes.,"July 18, 2022",version 5.11.3 (7123),
Phone features,Mark voicemail as unread,Users can mark voicemails as unread and flag them for follow up. Unread voicemails can be filtered as all or follow up.,"July 18, 2022",version 5.11.3 (7123),
Contact Center features,Internal calling between Zoom Phone to Zoom Contact Center,Calls from Zoom Phone to Zoom Contact Center route directly to one another for best call quality and will not incur charges as an outbound Zoom Phone call. Note: PSTN calls forwarded or transferred from Zoom Phone to Zoom Contact Center may continue to incur charges as an inbound Zoom Contact Center call. This can be useful for use cases where calls are routed from a Zoom Phone auto receptionist or user to a Zoom Contact Center flow. Agents can also transfer a contact center voice call to a Zoom Phone user by entering their extension number.,"July 18, 2022",version 5.11.3 (7123),
Contact Center features,Update Zoom presence status based on contact center status,"Agents’ Zoom presence will be automatically set based on their contact center status. For example, if an agent is in the Occupied status while in a video engagement, their Zoom presence status will be automatically set to In a Meeting.","July 18, 2022",version 5.11.3 (7123),
Contact Center features,Enhancements to closed engagements tab,"Agents and supervisors are able to see all engagements which were assigned to them and closed, as well as engagements which were assigned to them but closed with another agent or supervisor. Additionally, queue supervisors can see all engagements which were closed and assigned to the agents in their queue as well as engagements which were assigned to an agent in their queue but were closed with another agent.","July 18, 2022",version 5.11.3 (7123),
Contact Center features,Enhancements to active engagements tabs,"When viewing the active engagements tab, supervisors and agents can see the flow that the engagement went through. Additionally, the supervisor action buttons have moved to the ellipses icon (...) menu rather than having their own column area.","July 18, 2022",version 5.11.3 (7123),
Contact Center features,Callback label for inbound notifications,"If a customer requests a callback and is routed to an agent, the inbound voice call notification will display Callback above the consumer’s phone number and display name.","July 18, 2022",version 5.11.3 (7123),
Contact Center features,End of SMS or chat engagement experience,"Agents can set a disposition for closed SMS or chat engagements. Additionally, a new Messaging Wrap-up section has been added in the left-side panel for messaging engagements that are closed but awaiting a disposition.","July 18, 2022",version 5.11.3 (7123),
Contact Center features,Share files in chat,Agents and consumers can share files in chat during an active web chat engagement.,"July 18, 2022",version 5.11.3 (7123),
Contact Center features,Enhancements to multi-tasking while on an active engagement,"When an agent is on an active engagement and switches to another tab in the Zoom desktop client, agents will see a banner that notifies them of the active engagement and allows them to mute/unmute their microphone.","July 18, 2022",version 5.11.3 (7123),
